WERKS,EBELN,EBELP,MATNR,MATKL,LIFNR,RKDST,MENGE,DELGE,MEINS,NETPR,PEINH,DRDAT,LEWED,SEDAT,LCWED,ITDAT,LOEKE,ELIKZ,EKNAM,EKRNR,BANFN,BNFPO,BELNR,BUZEI
JP11,907507,4,13405872,TPM1,30003467,,47,47,PCS,3,EUR,2023-05-15,2023-05-16,2023-05-16,2023-05-23,2023-05-23, ,x,97468902,30692273,1005573,1,5318453,2
JP11,907507,3,10615744,TPM1,30003467,,67,67,PCS,5,EUR,2023-05-15,2023-05-16,2023-05-16,2023-05-23,2023-05-23, ,x,97468902,30692273,1005553,2,5318453,1
JP11,246811,5,58200280,UDF3,50759436,x,8,8,PCS,335,EUR,2023-05-18,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,61546081,46360074,1005587,2,7506989,3
DE10,360274,4,17231232,TPM1,30002348,,41,41,PCS,5,EUR,2023-05-16,2023-05-17,2023-05-17,2023-05-23,2023-05-23, ,x,18849392,76096174,1005560,2,6907654,3
US10,598360,7,50191792,PYTF,48114031,x,98,98,KG,545,EUR,2023-05-17,2023-05-24,2023-05-24,2023-05-30,2023-05-30, ,x,95183482,22939187,1005578,2,5433659,1
US10,884509,1,97625203,MPLF,38334498,x,86,86,KG,554,EUR,2023-05-18,2023-05-23,2023-05-23,2023-05-29,2023-05-29, ,x,46532170,82834217,1005526,3,8008229,1
DE10,360274,2,16177764,TPM1,30002348,,23,23,KG,4,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-26,2023-05-26, ,x,18849392,76096174,1005533,1,6907654,2
DE10,360274,1,11788404,TPM1,30003467,,58,58,PCS,6,EUR,2023-05-16,2023-05-17,2023-05-18,2023-05-24,2023-05-24, ,x,18849392,76096174,1005527,3,8626885,1
DE10,906459,2,86457056,MPLF,53847241,x,28,28,PCS,159,EUR,2023-05-18,2023-05-25,2023-06-01,2023-06-06,2023-06-06, ,x,12948061,74909010,1005545,1,9571463,1
DE10,906459,1,15353960,TPM1,30002348,,83,83,PCS,2,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-26,2023-05-26, ,x,12948061,74909010,1005527,4,6907654,1
DE10,208734,2,85602600,ZUFN,50759436,x,63,63,L,361,EUR,2023-05-17,2023-05-24,2023-05-24,2023-05-30,2023-05-30, ,x,95329307,91415001,1005497,4,5123067,1
US10,128909,5,69251696,UDF3,32519746,x,56,56,L,529,EUR,2023-05-19,2023-05-25,2023-05-25,2023-05-29,2023-05-29, ,x,40959657,92317842,1005631,2,9404464,3
US10,589342,5,10615744,TPM1,30003467,,13,13,PCS,5,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-29,2023-06-01, ,x,98215505,50831348,1005621,1,9417624,8
US10,589342,4,69251696,UDF3,32519746,x,28,28,L,529,EUR,2023-05-18,2023-05-25,2023-05-25,2023-05-29,2023-05-29, ,x,98215505,50831348,1005605,3,9404464,2
US10,589342,2,26709208,ZELA,41420829,x,80,80,KG,229,EUR,2023-05-19,2023-05-26,2023-05-26,2023-06-01,2023-06-01, ,x,98215505,50831348,1005588,1,5587932,1
US10,589342,1,25235624,COLA,35101221,x,73,73,L,640,EUR,2023-05-18,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,98215505,50831348,1005526,2,6936924,2
US10,867037,8,15353960,TPM1,30002348,,99,99,PCS,2,EUR,2023-05-17,2023-05-18,2023-05-19,2023-05-25,2023-05-25, ,x,74627776,48148862,1005612,1,7369866,8
US10,867037,7,45162744,EDSA,78411205,x,97,97,PCS,520,EUR,2023-05-17,2023-05-24,2023-05-24,2023-05-31,2023-06-05, ,x,74627776,48148862,1005611,3,7551997,2
US10,867037,6,84480424,ZUFN,38334498,x,13,13,G,136,EUR,2023-05-17,2023-05-23,2023-05-29,2023-06-01,2023-06-01, ,x,74627776,48148862,1005605,4,8008229,2
US10,867037,5,19297648,TPM1,30002348,,61,61,PCS,2,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-26,2023-05-26, ,x,74627776,48148862,1005605,2,7369866,7
US10,867037,4,26857600,ZELA,32952574,x,96,96,PCS,453,EUR,2023-05-18,2023-05-24,2023-05-24,2023-05-30,2023-05-30, ,x,74627776,48148862,1005591,2,7438107,1
US10,884509,3,15353960,TPM1,30002348,,22,22,PCS,2,EUR,2023-05-16,2023-05-17,2023-05-17,2023-05-23,2023-05-23, ,x,46532170,82834217,1005565,2,7369866,6
US10,884509,2,11788404,TPM1,30003467,,20,20,PCS,6,EUR,2023-05-17,2023-05-18,2023-05-19,2023-05-26,2023-05-31, ,x,46532170,82834217,1005565,1,9417624,7
JP11,246811,7,88797376,MPLF,50759436,x,70,70,PCS,6,EUR,,,,,, ,x,61546081,46360074,1005599,1,,
BR10,309246,2,10615744,TPM1,30003467,,75,75,PCS,5,EUR,2023-05-16,2023-05-17,2023-05-18,2023-05-24,2023-05-24, ,x,81226330,56621036,1005563,1,7996209,3
BR10,992808,2,78949416,ZUFN,53847241,x,29,29,PCS,991,EUR,2023-05-17,2023-05-18,2023-05-19,2023-05-23,2023-05-23, ,x,58010517,40959657,1005530,3,6538713,1
BR10,309246,1,20667944,COLA,73419740,x,83,83,KG,463,EUR,2023-05-19,2023-05-25,2023-05-25,2023-05-29,2023-05-29, ,x,81226330,56621036,1005561,1,5111566,1
BR10,992808,5,58890322,UDF3,34702906,x,41,41,PCS,813,EUR,2023-05-16,2023-05-22,2023-05-22,2023-05-26,2023-05-26, ,x,58010517,40959657,1005562,2,6768775,2
JP11,424051,6,26709208,ZELA,41420829,x,54,54,KG,229,EUR,,,,,, ,x,21879278,76054846,1005592,4,,
BR10,992808,6,19297648,TPM1,30002348,,81,81,PCS,2,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-26,2023-05-26, ,x,58010517,40959657,1005567,3,6530052,4
BR10,992808,4,13505536,TPM1,30003467,,5,5,PCS,7,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-29,2023-06-01, ,x,58010517,40959657,1005539,3,7996209,2
BR10,992808,7,25150904,COLA,32519746,x,31,31,PCS,976,EUR,2023-05-18,2023-05-25,2023-05-25,2023-05-29,2023-05-29, ,x,58010517,40959657,1005577,1,7699004,1
BR10,992808,3,18608880,TPM1,30002348,,90,90,PCS,1,EUR,2023-05-18,2023-05-19,2023-05-22,2023-05-26,2023-05-26, ,x,58010517,40959657,1005534,2,6530052,3
JP11,907507,2,83863032,ZUFN,78411205,x,71,71,G,263,EUR,2023-05-17,2023-05-24,2023-05-24,2023-05-31,2023-06-05, ,x,97468902,30692273,1005514,3,5287041,1
JP11,424051,9,15353960,TPM1,30002348,,88,88,PCS,2,EUR,2023-05-19,2023-05-22,2023-05-23,2023-05-29,2023-05-29, ,x,21879278,76054846,1005624,2,6608445,4
BR10,992808,1,16177764,TPM1,30002348,,95,95,KG,4,EUR,2023-05-16,2023-05-17,2023-05-17,2023-05-23,2023-05-23, ,x,58010517,40959657,1005528,2,6530052,2
BR10,113287,4,25235624,COLA,35101221,x,69,69,L,627,EUR,2023-05-15,2023-05-19,2023-05-19,2023-05-24,2023-05-24, ,x,99603522,82337433,1005530,1,7583550,1
BR10,113287,3,75990376,ZUFN,34702906,x,96,96,PCS,499,EUR,2023-05-16,2023-05-22,2023-05-22,2023-05-26,2023-05-26, ,x,99603522,82337433,1005519,2,6768775,1
BR10,113287,1,13505536,TPM1,30003467,,94,94,PCS,7,EUR,2023-05-17,2023-05-18,2023-05-19,2023-05-26,2023-05-31, ,x,99603522,82337433,1005505,2,7996209,1
BR10,457789,5,25398208,COLA,48114031,x,24,24,PCS,504,EUR,,,,,, ,x,32008687,92311722,1005539,1,,
BR10,457789,2,87079640,MPLF,41420829,x,34,34,KG,332,EUR,2023-05-16,,,,,x,x,32008687,92311722,1005515,1,,
BR10,113287,2,69579592,UDF3,49330617,x,15,15,L,124,EUR,2023-05-17,2023-05-23,2023-05-23,2023-05-29,2023-05-29, ,x,99603522,82337433,1005519,1,8005760,1
BR10,797215,3,18608880,TPM1,30002348,,93,93,PCS,1,EUR,2023-05-15,2023-05-16,2023-05-16,2023-05-22,2023-05-22, ,x,85356007,10989829,1005528,3,6530052,1
US10,662366,7,13505536,TPM1,30003467,,36,36,PCS,7,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-02,2023-06-02, ,x,48125799,21310337,1005636,2,6911902,4
US10,662366,4,98147568,MPLF,32519746,x,3,3,L,996,EUR,2023-05-25,2023-06-01,2023-06-08,2023-06-13,2023-06-13, ,x,48125799,21310337,1005628,1,7496902,2
US10,329323,6,11159536,TPM1,30003467,,62,62,PCS,1,EUR,2023-05-23,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,77639249,97040471,1005638,1,6911902,7
US10,329323,5,13505536,TPM1,30003467,,16,16,PCS,7,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,77639249,97040471,1005628,3,6911902,6
US10,329323,4,19297648,TPM1,30002348,,24,24,PCS,2,EUR,2023-05-26,2023-05-29,2023-05-30,2023-06-05,2023-06-09, ,x,77639249,97040471,1005621,2,7953632,2
DE10,255476,3,26709208,ZELA,41420829,x,12,12,KG,229,EUR,,,,,, ,x,67295445,47570626,1005626,3,,
US10,329323,3,13405872,TPM1,30003467,,89,89,PCS,3,EUR,2023-05-29,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,77639249,97040471,1005579,2,6911902,5
US10,329323,2,86834912,MPLF,43088822,x,13,13,PCS,381,EUR,2023-05-26,2023-06-02,2023-06-02,2023-06-07,2023-06-07, ,x,77639249,97040471,1005578,1,7184349,1
DE10,255476,2,13405872,TPM1,30003467,,77,77,PCS,3,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,67295445,47570626,1005626,1,7017632,1
IN10,878687,7,19297648,TPM1,30002348,,90,90,PCS,2,EUR,2023-06-01,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,99404892,69924358,1005629,2,7747708,2
IN10,878687,6,88903632,MPLF,35101221,x,83,83,PCS,895,EUR,2023-05-22,2023-05-23,2023-05-24,2023-05-31,2023-05-31, ,x,99404892,69924358,1005625,1,6935012,1
DE10,329189,1,98147568,MPLF,32519746,x,23,23,L,996,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-01,2023-06-01, ,x,48125799,99612369,1005560,1,7870054,1
IN10,878687,5,18608880,TPM1,30002348,,96,96,PCS,1,EUR,2023-06-02,2023-05-24,2023-05-24,2023-05-30,2023-06-05, ,x,99404892,69924358,1005620,3,7747708,1
IN10,878687,4,13405872,TPM1,30003467,,25,25,PCS,3,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,99404892,69924358,1005620,2,6054428,1
IN10,878687,3,86834912,MPLF,43088822,x,82,82,PCS,381,EUR,2023-05-24,,,,,x,x,99404892,69924358,1005609,1,,
DE10,265310,2,16177764,TPM1,30002348,,56,56,KG,4,EUR,2023-05-22,2023-05-23,2023-05-24,2023-05-30,2023-06-05, ,x,64389461,97040471,1005575,1,6142531,1
IN10,878687,1,48248768,PYTF,74997556,x,59,59,PCS,717,EUR,2023-05-22,,,,,x,x,99404892,69924358,1005557,2,,
US10,662366,3,37141432,EDSA,78411205,x,15,15,PCS,474,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-02, ,x,48125799,21310337,1005611,2,9133396,1
IN10,427676,1,84480424,ZUFN,38334498,x,48,48,G,139,EUR,2023-05-23,2023-05-29,2023-05-29,2023-06-01,2023-06-01, ,x,91849617,32511490,1005600,3,9229918,1
US10,329323,1,16177764,TPM1,30002348,,48,48,KG,4,EUR,2023-05-26,2023-05-29,2023-05-30,2023-06-05,2023-06-09, ,x,77639249,97040471,1005576,1,7953632,1
US10,662366,2,25150904,COLA,32519746,x,88,88,PCS,1002,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-01,2023-06-01, ,x,48125799,21310337,1005611,1,7496902,1
CN10,887555,1,86457056,MPLF,53847241,x,44,44,PCS,159,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-02,2023-06-02, ,x,36696726,53666056,1005623,1,7753239,1
US10,329323,7,15353960,TPM1,30002348,,46,46,PCS,2,EUR,2023-05-23,2023-05-24,2023-05-24,2023-05-30,2023-06-05, ,x,77639249,97040471,1005650,3,7953632,3
US10,585248,8,35470001,EDSA,35101221,x,12,12,KG,235,EUR,2023-05-26,2023-06-02,2023-06-09,2023-06-15,2023-06-15, ,x,48148862,59321219,1005676,1,9412641,2
JP11,424051,3,10615744,TPM1,30003467,,53,53,PCS,5,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,21879278,76054846,1005587,1,8666057,3
JP11,424051,2,11788404,TPM1,30003467,,51,51,PCS,6,EUR,2023-05-23,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,21879278,76054846,1005581,3,8666057,2
JP11,424051,1,98151444,MPLF,43088822,x,26,26,PCS,916,EUR,2023-05-24,2023-05-31,2023-05-31,2023-06-06,2023-06-06, ,x,21879278,76054846,1005581,2,8604770,1
JP11,531876,2,90455123,MPLF,55553693,x,6,6,PCS,437,EUR,2023-05-25,2023-05-31,2023-05-31,2023-06-02,2023-06-02, ,x,96574593,74151062,1005598,1,9254095,1
JP11,531876,3,10615744,TPM1,30003467,,78,79,PCS,5,EUR,2023-05-29,2023-05-23,2023-05-23,2023-05-30,2023-06-02, ,x,96574593,74151062,1005617,1,8666057,6
JP11,424051,4,69909608,UDF3,73419740,x,46,46,PCS,1002,EUR,2023-05-22,2023-05-26,2023-05-26,2023-05-31,2023-05-31, ,x,21879278,76054846,1005587,3,7337300,1
JP11,246811,6,69251696,UDF3,32519746,x,70,70,L,529,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-01,2023-06-01, ,x,61546081,46360074,1005592,3,6062369,1
JP11,798201,1,15353960,TPM1,30002348,,22,22,PCS,2,EUR,2023-05-26,2023-05-29,2023-05-30,2023-06-05,2023-06-09, ,x,63075386,98370979,1005604,1,7641986,2
JP11,798201,2,16177764,TPM1,30002348,,2,2,KG,4,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-01,2023-06-05, ,x,63075386,98370979,1005640,3,7641986,3
US10,159241,6,97625203,MPLF,38334498,x,75,75,KG,530,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-07,2023-06-13, ,x,36266286,49883210,1005650,1,7245791,1
JP11,246811,2,13505536,TPM1,30003467,,8,8,PCS,7,EUR,2023-05-22,2023-05-23,2023-05-23,2023-05-30,2023-06-02, ,x,61546081,46360074,1005559,1,8666057,1
JP11,138229,2,15353960,TPM1,30002348,,64,64,PCS,2,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,42978120,53666056,1005651,2,7641986,4
JP11,411204,3,88346328,MPLF,48114031,x,33,33,KG,644,EUR,,,,,, ,x,63038151,54469786,1005663,1,,
US10,159241,3,45013285,EDSA,70920548,x,34,34,KG,543,EUR,2023-05-26,2023-05-29,2023-05-29,2023-06-02,2023-06-02, ,x,36266286,49883210,1005646,1,8273526,1
US10,662366,1,11788404,TPM1,30003467,,74,74,PCS,6,EUR,2023-05-22,2023-05-23,2023-05-23,2023-05-30,2023-06-02, ,x,48125799,21310337,1005605,1,6911902,2
US10,585248,7,15353960,TPM1,30002348,,7,7,PCS,2,EUR,2023-05-26,2023-05-29,2023-05-30,2023-06-05,2023-06-09, ,x,48148862,59321219,1005673,3,7953632,5
US10,867037,2,24242928,COLA,34702906,x,10,10,KG,321,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-02, ,x,74627776,48148862,1005554,1,9713193,1
DE10,239067,1,15353960,TPM1,30002348,,39,39,PCS,2,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,29797126,27116838,1005639,2,6142531,2
US10,128909,3,79697072,ZUFN,48114031,x,66,66,PCS,710,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-06, ,x,40959657,92317842,1005594,2,9051989,2
US10,128909,2,37238104,EDSA,49330617,x,56,56,PCS,320,EUR,2023-05-23,2023-05-29,2023-05-29,2023-05-31,2023-05-31, ,x,40959657,92317842,1005594,1,4986031,1
US10,128909,1,86457056,MPLF,53847241,x,27,27,PCS,159,EUR,2023-05-29,2023-05-30,2023-05-30,2023-06-02,2023-06-02, ,x,40959657,92317842,1005591,1,5198102,1
US10,848439,1,19297648,TPM1,30002348,,78,78,PCS,2,EUR,2023-05-26,,,,,x,x,99404892,14427468,1005633,1,,
US10,848439,2,85602600,ZUFN,50759436,x,51,51,L,361,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-05,2023-06-05, ,x,99404892,14427468,1005647,2,7300402,1
US10,867037,1,89034752,MPLF,74997556,x,94,94,PCS,726,EUR,2023-05-22,,,,,x,x,74627776,48148862,1005549,1,,
US10,589342,3,32003616,ZELA,32952574,x,27,27,L,231,EUR,2023-05-22,2023-05-26,2023-05-30,2023-06-05,2023-06-05, ,x,98215505,50831348,1005602,3,5955291,1
US10,867037,9,10615744,TPM1,30003467,,82,82,PCS,5,EUR,2023-05-22,2023-05-23,2023-05-23,2023-05-30,2023-06-02, ,x,74627776,48148862,1005616,1,6911902,1
JP11,424051,7,16177764,TPM1,30002348,,98,98,KG,4,EUR,2023-05-22,2023-05-23,2023-05-24,2023-05-30,2023-06-05, ,x,21879278,76054846,1005615,1,7641986,1
JP11,424051,8,11788404,TPM1,30003467,,56,56,PCS,6,EUR,2023-05-25,,,,,x,x,21879278,76054846,1005624,1,,
US10,585248,5,86834912,MPLF,43088822,x,25,25,PCS,381,EUR,2023-05-25,2023-06-01,2023-06-01,2023-06-06,2023-06-06, ,x,48148862,59321219,1005646,2,7184349,2
JP11,531876,1,47961168,PYTF,35101221,x,78,78,PCS,555,EUR,2023-05-24,2023-05-30,2023-05-30,2023-06-06,2023-06-13, ,x,96574593,74151062,1005586,2,6776671,1
US10,867037,3,88346328,MPLF,48114031,x,98,98,KG,618,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-06, ,x,74627776,48148862,1005579,1,9051989,1
JP11,424051,5,11159536,TPM1,30003467,,90,90,PCS,1,EUR,2023-05-23,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,21879278,76054846,1005592,2,8666057,4
US10,128909,4,87079640,MPLF,41420829,x,20,20,KG,332,EUR,2023-05-23,2023-05-29,2023-05-29,2023-05-31,2023-06-02, ,x,40959657,92317842,1005602,1,5828087,1
DE10,754173,1,17231232,TPM1,30002348,,29,29,PCS,5,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,42900809,80694810,1005596,3,6142531,3
DE10,573542,1,19297648,TPM1,30002348,,17,17,PCS,2,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,27111603,26673288,1005619,1,6142531,5
BR10,807211,5,18608880,TPM1,30002348,,51,51,PCS,1,EUR,2023-05-26,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,26512366,36908184,1005597,2,7984758,2
BR10,807211,4,13505536,TPM1,30003467,,52,52,PCS,7,EUR,2023-05-23,2023-05-24,2023-05-24,2023-05-31,2023-05-31, ,x,26512366,36908184,1005589,2,6339707,2
BR10,807211,3,86834912,MPLF,43088822,x,98,98,PCS,394,EUR,2023-05-24,2023-05-31,2023-05-31,2023-06-06,2023-06-06, ,x,26512366,36908184,1005585,2,8924736,2
BR10,807211,1,86834912,MPLF,43088822,x,3,3,PCS,375,EUR,2023-05-24,2023-05-31,2023-05-31,2023-06-06,2023-06-06, ,x,26512366,36908184,1005561,2,8924736,1
DE10,754173,2,15353960,TPM1,30002348,,79,79,PCS,2,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,42900809,80694810,1005608,2,6142531,4
BR10,626177,5,19297648,TPM1,30002348,,52,52,PCS,2,EUR,2023-05-23,2023-05-23,2023-05-24,2023-05-30,2023-06-05, ,x,85522996,57765961,1005589,3,7984758,1
BR10,626177,2,10615744,TPM1,30003467,,52,52,PCS,5,EUR,2023-05-23,,,,,x,x,85522996,57765961,1005564,1,,
BR10,626177,1,43678400,EDSA,48114031,x,29,29,PCS,115,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,85522996,57765961,1005539,2,6372247,1
CN10,508896,1,44074088,EDSA,78411205,x,41,41,PCS,50,EUR,2023-05-26,2023-06-01,2023-06-07,2023-06-14,2023-06-21, ,x,99603522,26512366,1005580,1,5801573,2
CN10,959721,7,11788404,TPM1,30003467,,29,29,PCS,6,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,25521185,23414890,1005669,2,6950254,2
BR10,396167,5,93159896,MPLF,32519746,x,9,9,PCS,159,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-01,2023-06-01, ,x,77639249,65550769,1005577,2,9736189,1
BR10,807211,7,28348643,ZELA,43088822,x,50,50,PCS,684,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,26512366,36908184,1005613,2,8924736,3
CN10,959721,6,51088568,PYTF,78411205,x,50,50,PCS,234,EUR,2023-05-24,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,25521185,23414890,1005655,1,5801573,1
CN10,564406,1,86662444,MPLF,50759436,x,97,97,KG,447,EUR,2023-05-23,2023-05-30,2023-05-31,2023-06-07,2023-06-07, ,x,26673288,70768553,1005574,1,9738154,1
CN10,959721,2,29156488,ZELA,50759436,x,25,25,PCS,361,EUR,2023-05-25,2023-05-26,2023-05-26,2023-05-30,2023-05-30, ,x,25521185,23414890,1005603,2,9738154,3
BR10,396167,1,19816724,COLA,32952574,x,32,32,PCS,521,EUR,2023-05-22,2023-05-26,2023-05-30,2023-06-05,2023-06-05, ,x,77639249,65550769,1005528,1,7803654,1
CN10,564406,2,98151444,MPLF,43088822,x,37,37,PCS,916,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-02, ,x,26673288,70768553,1005580,2,8519776,1
CN10,564406,3,19474160,COLA,48114031,x,6,6,KG,986,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-06, ,x,26673288,70768553,1005582,1,8307427,1
CN10,959721,1,84480424,ZUFN,38334498,x,57,57,G,136,EUR,2023-05-25,2023-05-31,2023-05-31,2023-06-05,2023-06-05, ,x,25521185,23414890,1005566,2,8875241,1
CN10,586425,1,79697072,ZUFN,48114031,x,44,44,PCS,710,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,61568536,29602197,1005582,2,8307427,2
CN10,586425,2,88797376,MPLF,50759436,x,90,90,PCS,6,EUR,,,,,, ,x,61568536,29602197,1005593,1,,
CN10,436422,2,10615744,TPM1,30003467,,38,38,PCS,5,EUR,2023-05-24,2023-05-25,2023-05-25,2023-06-01,2023-06-01, ,x,23329589,96959015,1005637,2,6950254,1
CN10,586425,4,18608880,TPM1,30002348,,97,97,PCS,1,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,61568536,29602197,1005618,2,8129546,1
CN10,436422,1,75227320,UDF3,41420829,x,58,58,PCS,601,EUR,2023-06-01,2023-05-29,2023-05-29,2023-05-31,2023-06-02, ,x,23329589,96959015,1005618,3,6508576,1
CN10,959721,3,16177764,TPM1,30002348,,4,4,KG,4,EUR,2023-05-25,,,,,x,x,25521185,23414890,1005618,1,,
BR10,807211,8,19474160,COLA,48114031,x,54,54,KG,1004,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,26512366,36908184,1005622,1,6372247,2
BR10,626177,6,97625203,MPLF,38334498,x,31,31,KG,554,EUR,2023-05-22,2023-05-25,2023-05-25,2023-05-31,2023-05-31, ,x,85522996,57765961,1005595,1,7559607,1
BR10,751588,2,25150904,COLA,32519746,x,18,18,PCS,976,EUR,2023-05-25,2023-06-01,2023-06-08,2023-06-13,2023-06-13, ,x,79767989,85454276,1005610,1,9736189,2
DE10,573542,2,15353960,TPM1,30002348,,71,71,PCS,2,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,27111603,26673288,1005652,2,6142531,6
DE10,824154,1,11788404,TPM1,30003467,,94,94,PCS,6,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-02,2023-06-02, ,x,30692273,30692273,1005614,1,7017632,2
DE10,824154,2,85602600,ZUFN,50759436,x,69,69,L,361,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-05,2023-06-05, ,x,30692273,30692273,1005619,2,7502127,1
DE10,824154,3,16177764,TPM1,30002348,,25,25,KG,4,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-01,2023-06-05, ,x,30692273,30692273,1005626,2,6142531,7
DE10,374265,1,84480424,ZUFN,38334498,x,23,23,G,136,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-07,2023-06-13, ,x,74627776,87596201,1005614,3,7245549,1
IN10,878687,8,48075088,PYTF,53847241,x,89,89,KG,353,EUR,2023-05-22,2023-05-29,2023-05-29,2023-06-02,2023-06-02, ,x,99404892,69924358,1005632,1,8621128,1
US10,662366,5,10615744,TPM1,30003467,,64,64,PCS,5,EUR,2023-05-22,,,,,x,x,48125799,21310337,1005628,2,,
BR10,751588,1,18608880,TPM1,30002348,,11,11,PCS,1,EUR,2023-05-24,2023-05-25,2023-05-26,2023-06-01,2023-06-05, ,x,79767989,85454276,1005595,2,7984758,3
IN10,967643,1,24242928,COLA,34702906,x,75,75,KG,321,EUR,,,,,, ,x,44353110,16116408,1005600,1,,
IN10,967643,2,44409248,EDSA,48114031,x,52,52,L,248,EUR,2023-05-25,2023-06-01,2023-06-01,2023-06-07,2023-06-07, ,x,44353110,16116408,1005620,1,5592184,1
IN10,967643,3,37141432,EDSA,78411205,x,34,34,PCS,474,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,44353110,16116408,1005629,1,5083634,1
IN10,440703,1,26857600,ZELA,32952574,x,87,87,PCS,438,EUR,,,,,, ,x,27111603,20977694,1005625,2,,
IN10,440703,2,11159536,TPM1,30003467,,79,79,PCS,1,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-02,2023-06-02, ,x,27111603,20977694,1005632,2,6054428,2
IN10,494359,1,86834912,MPLF,43088822,x,78,78,PCS,381,EUR,2023-05-23,2023-05-30,2023-05-30,2023-06-05,2023-06-05, ,x,99118836,43449637,1005606,2,8244262,2
BR10,751588,3,86834912,MPLF,43088822,x,72,72,PCS,387,EUR,2023-05-24,2023-05-31,2023-05-31,2023-06-06,2023-06-06, ,x,79767989,85454276,1005610,2,8924736,4
BR10,451087,3,18608880,TPM1,30002348,,99,99,PCS,1,EUR,2023-05-25,2023-05-26,2023-05-26,2023-06-01,2023-06-05, ,x,10302268,40836156,1005667,1,7984758,4
BR10,451087,2,86662444,MPLF,50759436,x,91,91,KG,455,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-05,2023-06-05, ,x,10302268,40836156,1005630,1,8454411,1
BR10,611606,2,84480424,ZUFN,38334498,x,72,68,G,136,EUR,2023-05-26,2023-06-01,2023-06-01,2023-06-07,2023-06-13, ,x,15767144,61434023,1005644,2,7559607,2
US10,662366,6,47961168,PYTF,35101221,x,94,94,PCS,582,EUR,2023-05-25,2023-05-31,2023-06-06,2023-06-13,2023-06-13, ,x,48125799,21310337,1005631,1,9412641,1
BR10,450355,3,48075088,PYTF,53847241,x,26,26,KG,353,EUR,2023-05-24,2023-05-31,2023-05-31,2023-06-06,2023-06-06, ,x,51707704,12973997,1005584,1,8434465,1
