EBELN,EBELP,UDATE,FIELD,VALUE
439238,1,2022-07-25,P,418
439238,1,2022-07-28,P,435
439238,1,2022-07-29,P,435
439390,1,2022-02-24,P,54
439390,2,2022-02-28,Q,31
439390,3,2022-02-25,P,120
439390,3,2022-02-28,P,114
439390,4,2022-03-01,P,6
439390,5,2022-02-23,P,5
439689,3,2020-06-10,Q,48
439689,3,2020-06-11,P,622
439689,3,2020-06-15,P,626
440802,1,2019-10-14,P,564
440802,2,2019-10-14,P,2
440944,1,2019-02-01,Q,96
440944,2,2019-01-28,Q,31
440944,2,2019-02-01,P,313
440944,2,2019-02-06,Q,28
441059,1,2020-12-09,P,439
441059,1,2020-12-14,Q,101
441475,1,,Q,80
441475,2,2022-07-27,Q,65
441475,3,2022-07-28,Q,52
441475,4,2022-08-01,Q,64
441535,2,2023-02-10,Q,23
441693,3,2019-09-09,Q,86
441693,3,2019-09-11,Q,82
441693,3,2019-09-13,Q,83
441693,3,2019-09-13,P,1
441693,3,2019-09-16,P,1
442105,3,2021-05-20,P,2
442683,1,2021-06-28,Q,43
443156,1,2020-06-10,P,117
444025,1,2021-12-07,P,6
444025,1,2021-12-13,P,6
444025,1,2021-12-13,P,6
444427,2,2022-11-21,P,5
445092,2,2023-03-06,P,2
445092,2,2023-03-06,P,2
445257,1,2020-03-05,Q,7
445544,1,2019-08-19,P,560
445921,2,2021-09-13,Q,54
446029,2,2020-08-28,Q,90
446029,2,2020-08-31,P,699
446029,2,2020-09-07,P,723
446029,2,2020-09-14,P,734
446142,2,2020-02-21,P,6
446323,1,,Q,77
448546,1,2021-10-18,P,2
448546,4,2021-10-19,Q,76
448546,4,2021-10-25,P,7
449013,1,2020-08-05,Q,81
449013,2,2020-08-03,P,1
449013,3,,Q,19
449013,3,,P,6
449630,1,,P,2
449630,2,2022-10-03,Q,22
449630,2,2022-10-04,P,4
449881,1,2019-05-15,Q,61
450312,1,2020-10-26,P,7
450312,2,2020-10-30,P,1
451208,2,2020-08-31,P,581
451279,1,2022-08-29,P,548
451533,1,2021-02-23,Q,6
451533,2,2021-02-18,Q,4
451533,2,2021-02-25,Q,12
452068,4,2021-11-09,P,699
452431,1,2020-09-15,P,6
452431,2,2020-09-10,P,2
453183,2,2019-10-21,Q,65
453313,1,,P,956
453313,3,2019-10-11,P,946
453313,4,2019-10-02,P,973
453362,1,,P,968
453362,3,2022-09-26,Q,33
454012,3,2019-04-29,Q,72
454012,4,2019-04-24,Q,82
454038,1,2021-07-23,Q,10
454516,2,2022-04-26,P,162
454516,3,2022-04-28,Q,91
454516,4,2022-04-28,P,730
454516,5,2022-04-25,P,1
454895,1,2019-01-25,Q,16
454895,1,,Q,19
455006,1,2019-11-05,P,6
455006,2,2019-10-23,Q,19
455006,3,2019-10-31,Q,75
455278,1,2020-08-13,P,328
455996,1,,P,836
456307,1,2022-11-08,P,445
456307,1,2022-11-11,P,444
456307,4,2022-11-07,Q,83
456307,4,2022-11-09,Q,81
457354,1,2022-10-24,P,2
457354,2,,Q,61
457354,2,,P,923
457354,2,,P,931
457354,3,2022-10-25,P,670
457354,4,2022-10-31,Q,70
457354,4,2022-11-02,P,714
457354,5,2022-10-27,P,5
457354,5,2022-10-28,Q,50
457354,5,2022-10-31,P,5
457354,6,2022-10-24,P,327
457354,6,2022-11-03,Q,48
457778,1,2020-07-17,Q,48
457778,1,2020-07-20,P,4
457778,2,,P,466
457778,2,,P,464
458372,1,2019-05-27,P,7
458372,1,2019-05-27,P,7
458402,1,2019-04-29,Q,40
458402,6,2019-05-01,P,617
458402,7,2019-04-29,Q,36
458505,1,2021-01-07,Q,91
458505,2,,Q,52
458615,1,2020-01-07,Q,11
459164,1,2022-10-05,P,420
459164,1,2022-10-10,P,433
459379,1,2022-01-17,Q,9
459379,1,2022-01-17,P,7
459379,2,2022-01-24,P,912
459918,1,2020-02-07,Q,49
459918,1,2020-02-11,P,1
460058,1,2021-07-07,Q,14
460406,1,2019-01-15,P,161
460406,2,2019-01-09,P,5
460406,2,2019-01-21,P,5
461287,1,2019-10-30,Q,4
461287,2,2019-10-24,P,793
461287,2,2019-10-28,Q,49
461287,2,2019-11-04,P,779
461287,3,2019-11-04,P,3
461339,1,2022-12-19,P,4
461339,1,2022-12-20,Q,38
461395,1,2021-01-18,Q,47
461395,1,2021-01-18,Q,48
461395,1,2021-01-25,P,210
461811,1,2020-01-21,P,1
462009,1,2022-04-18,P,710
462794,1,2020-06-04,P,5
462794,2,2020-06-15,P,334
463544,1,2019-12-20,P,581
463784,3,2020-09-28,P,2
463784,3,2020-09-29,P,2
464073,3,2021-10-25,Q,24
464508,1,2022-02-18,P,421
464508,1,2022-03-04,Q,76
464826,1,,P,1
464826,2,2022-07-06,P,364
464857,3,2021-08-10,Q,79
466038,2,2022-05-16,Q,70
466038,2,2022-05-17,P,1
466038,3,2022-05-10,P,917
466038,3,2022-05-16,P,918
466038,3,2022-05-18,P,963
466088,1,2020-05-15,Q,69
466088,1,2020-05-18,Q,60
466088,1,2020-05-19,P,5
466088,3,2020-05-18,P,7
466088,4,2020-05-18,Q,19
466088,4,2020-05-25,Q,18
466317,1,2019-06-11,Q,65
466528,2,2022-11-11,Q,92
466532,1,2022-09-05,Q,47
466532,1,2022-09-12,P,7
466532,2,2022-09-05,Q,77
466532,3,2022-09-12,P,2
466532,3,2022-09-14,P,2
466542,1,2020-07-08,Q,96
466578,3,2021-09-27,Q,51
466838,1,,P,87
466838,2,,Q,41
466838,2,,P,321
466838,3,2019-07-29,P,849
467215,2,2020-03-19,P,632
467215,2,2020-03-20,Q,25
467640,2,2022-03-21,P,5
467640,2,2022-03-21,P,5
468036,1,2020-10-27,Q,67
468036,2,,P,2
468036,2,,Q,53
468036,3,2020-10-21,P,2
468378,1,2020-06-01,Q,54
468378,2,2020-06-01,P,922
468378,4,,Q,86
469085,2,2021-01-26,Q,2
469122,1,2021-03-15,P,5
469689,2,2021-03-24,P,5
470152,3,2022-07-15,P,334
470844,2,2020-12-30,P,159
471161,1,2020-12-22,P,715
471161,1,2020-12-23,P,709
471161,1,2020-12-24,Q,94
471861,1,2020-12-29,P,5
471861,1,2021-01-05,Q,31
472601,1,2020-09-17,P,85
472601,1,2020-09-21,Q,44
472935,1,,P,444
472935,1,,P,436
472965,1,2019-03-08,P,745
472965,1,2019-03-11,Q,21
472965,2,2019-03-06,Q,40
473098,1,,P,431
473098,1,,Q,69
473098,1,,P,426
473415,1,2022-11-11,P,577
473415,1,2022-11-18,Q,14
473415,2,2022-11-16,Q,21
473536,1,2020-11-05,P,609
473536,2,2020-10-28,P,4
473639,1,2021-02-23,P,4
473791,2,2020-07-08,P,7
473800,1,2020-06-11,Q,11
473805,2,2021-01-12,P,1
473826,1,2019-09-10,P,118
473826,3,,P,848
473826,3,,P,887
474088,1,2022-11-08,P,342
475445,1,,P,3
475488,2,,P,7
475488,4,,P,1
475761,1,2023-03-02,P,699
476295,3,2020-01-07,P,451
476300,1,2019-11-11,P,704
476300,3,2019-10-29,P,2
476359,1,2022-09-29,P,2
476608,2,2019-09-30,Q,71
477038,1,2019-06-10,Q,26
477038,1,2019-06-10,Q,28
477121,1,2020-01-02,P,7
477121,1,2020-01-09,Q,75
477955,3,2019-01-16,P,5
477971,1,2021-05-18,P,5
478026,1,2020-08-24,Q,57
478026,3,2020-08-28,P,5
478647,2,2022-07-01,Q,40
478663,1,2019-12-27,P,1
479373,1,,P,6
479373,2,2021-12-06,P,5
479373,3,,Q,36
479373,4,2021-12-06,Q,39
479373,4,2021-12-14,P,228
479735,1,2020-11-26,Q,42
479867,2,2022-10-17,P,1
480199,1,2021-07-12,P,1
480400,2,2023-02-24,P,502
480606,1,,P,231
481867,1,2019-10-30,Q,79
481867,2,2019-10-30,Q,2
481867,3,,P,665
482269,1,2019-10-14,Q,89
482334,1,2019-12-11,Q,4
482431,2,2021-09-22,P,5
482431,2,2021-09-22,P,5
482431,2,2021-09-29,P,5
482529,2,2020-05-18,P,2
482658,3,2020-01-07,Q,49
482787,2,2022-09-12,P,133
482933,1,2021-07-12,Q,34
483215,1,2020-02-07,P,543
483215,1,2020-02-10,Q,100
483241,1,2019-12-03,Q,80
483588,2,2019-11-06,Q,66
484564,2,2020-07-24,P,2
484752,1,,Q,33
485021,1,2022-01-10,P,5
485582,1,2019-09-23,Q,30
486210,1,2021-11-24,Q,45
487520,1,,Q,54
487829,1,2022-12-26,Q,38
487829,1,2022-12-26,P,2
488683,1,2020-06-11,Q,80
489381,1,2022-07-27,Q,94
489381,2,2022-08-04,Q,50
489381,2,2022-08-08,P,612
489723,1,2021-01-21,P,646
489723,1,2021-02-01,P,621
490070,1,2022-02-15,P,497
490070,2,2022-02-15,P,5
490729,3,,P,1
490797,1,2023-01-30,Q,3
490797,2,,Q,17
490797,2,,P,3
490797,3,2023-01-30,Q,5
490797,3,2023-01-30,P,435
490797,4,2023-02-02,Q,52
490883,2,2019-11-22,P,5
490895,1,,P,186
490895,1,,P,186
491129,2,2020-11-18,P,677
491135,2,2019-10-04,Q,65
491158,1,2021-06-07,P,969
491158,2,2021-06-16,P,527
491282,2,2021-03-29,Q,35
491874,1,2020-07-20,P,1
491903,1,2019-06-04,P,323
491903,1,2019-06-05,Q,8
493140,1,2021-02-02,P,375
493657,1,2020-06-04,P,2
493770,1,,P,441
493770,2,2020-12-11,P,241
493976,1,2021-10-04,P,794
493988,1,,Q,38
494868,1,2022-06-29,P,877
494868,1,2022-06-30,P,918
494986,1,2021-04-29,P,4
494986,2,2021-05-10,P,743
494986,2,2021-05-11,P,716
495488,1,2023-01-27,P,337
495488,1,2023-01-30,P,326
495488,2,2023-01-24,Q,48
495488,3,2023-01-18,Q,58
495663,1,2022-02-17,P,543
496272,1,,P,158
496523,1,2021-12-22,Q,16
496523,1,2021-12-27,P,5
496523,2,2021-12-27,P,139
496726,4,2022-12-09,P,487
496726,4,2022-12-19,Q,90
496726,4,2022-12-19,P,464
496838,1,2022-02-09,Q,26
496838,2,2022-01-28,P,2
496838,3,2022-01-31,Q,68
497518,1,2019-10-11,Q,99
497518,1,2019-10-22,Q,101
497982,1,,P,230
497982,2,2021-04-08,Q,20
497982,3,,Q,59
498727,1,2022-03-03,Q,70
498727,1,2022-03-14,P,331
499201,1,2019-02-07,Q,85
499604,1,2019-05-23,P,233
499604,2,2019-05-20,P,7
499604,3,,P,2
499604,3,,P,2
500135,1,2023-03-07,P,3
500966,1,2022-08-16,Q,12
501411,1,,P,496
502190,1,2020-08-06,Q,20
502212,1,2019-08-27,Q,31
502249,1,2019-11-11,P,4
502980,3,2021-09-08,P,6
503093,2,2022-11-28,P,2
503093,2,2022-11-30,P,2
503303,1,2020-04-07,Q,28
504506,1,2020-10-19,Q,61
504506,1,2020-10-23,P,208
504506,2,2020-10-19,P,2
504506,3,2020-10-27,Q,50
504710,1,2020-03-19,P,448
505331,2,2019-09-16,Q,63
506076,1,2020-09-15,Q,6
506076,2,,Q,5
506317,1,2019-10-14,P,5
507247,2,,Q,96
507247,2,,P,516
508066,1,2020-06-29,P,163
508066,1,2020-07-06,P,171
508353,1,2021-07-01,P,548
508353,1,2021-07-07,Q,41
508353,1,2021-07-12,Q,33
508420,4,2020-06-15,P,4
508736,1,2022-05-05,P,857
508770,3,2020-04-01,P,329
508774,1,2023-02-27,Q,56
508774,2,2023-02-20,Q,24
509734,1,2023-02-27,Q,61
509734,2,2023-02-27,P,2
509734,3,2023-03-03,Q,88
509781,1,2020-05-26,Q,11
509781,1,2020-06-02,P,452
510087,3,2023-02-27,P,742
510345,3,2020-03-02,P,1
510345,3,2020-03-03,P,1
510433,1,2022-07-18,Q,97
510703,1,2020-03-31,P,164
511860,2,2023-01-06,P,984
512423,1,2020-07-20,P,975
512423,3,2020-07-13,P,5
512599,1,,Q,95
512756,1,2019-01-31,P,657
512756,2,2019-02-06,Q,14
513003,1,2022-02-24,P,79
513153,1,2021-09-29,P,336
513161,1,,Q,91
513245,2,2022-09-01,Q,6
513652,2,2022-03-07,P,547
513710,1,2020-09-17,Q,3
514982,2,2022-08-24,P,902
515259,1,2022-10-07,P,545
515259,2,,Q,18
515259,2,,P,158
515259,2,,P,161
515259,3,2022-10-10,P,712
516082,2,2022-02-14,P,2
516206,1,2020-05-05,Q,73
516206,1,2020-05-06,P,398
516206,2,2020-04-29,P,580
516206,3,2020-05-07,Q,16
516661,1,2021-09-27,Q,73
516779,2,2022-12-02,Q,72
516779,2,2022-12-05,P,2
516779,2,2022-12-12,Q,70
516779,3,2022-12-05,P,2
517592,1,2020-07-22,Q,48
517635,1,2020-12-15,P,870
517635,1,,Q,96
517635,2,2020-12-14,P,465
517635,2,2020-12-14,P,474
517635,2,2020-12-17,P,458
518352,1,2022-08-29,P,471
518504,1,,Q,56
518886,1,2022-05-26,P,137
518979,2,2022-09-01,P,430
518979,3,2022-08-31,Q,14
520180,1,2020-06-11,P,519
520180,2,2020-06-15,P,731
520180,2,2020-06-16,P,707
520180,3,2020-06-04,Q,5
520180,3,2020-06-04,P,712
520408,2,2019-08-19,P,87
520408,3,2019-08-20,P,5
520529,1,2019-07-05,P,6
520561,1,2021-06-14,P,310
520624,1,2020-07-27,Q,70
520669,2,2019-04-17,P,974
520813,2,2020-03-20,Q,44
520813,3,2020-03-06,P,431
520847,1,2022-09-19,P,1024
520900,1,2019-10-21,P,204
520900,3,2019-10-16,P,818
521057,1,2022-12-05,Q,76
521097,2,2020-01-21,Q,1
521171,2,,P,444
521931,2,2022-09-06,P,122
521931,3,,Q,68
521931,3,,P,456
521931,4,2022-08-31,Q,76
522507,2,2020-05-14,P,6
522507,2,2020-05-20,Q,36
522507,2,2020-05-25,P,6
522507,2,2020-05-27,P,6
522911,1,2021-12-08,Q,14
523535,1,,Q,23
523535,1,,Q,26
523604,1,2022-07-22,P,1
523706,1,2021-11-01,P,373
523706,1,2021-11-05,Q,65
523706,2,2021-10-28,P,521
523755,1,2021-11-09,Q,92
523927,1,2022-03-16,P,1
523963,1,2021-10-18,Q,69
523963,1,2021-10-20,P,876
524139,1,2020-05-01,Q,4
524139,1,2020-05-06,P,2
524139,2,2020-05-01,P,235
524139,2,2020-05-11,Q,41
524143,2,2021-03-17,P,344
524143,2,2021-03-17,P,357
524143,4,,Q,1
524687,1,2021-04-05,P,501
524962,1,2021-05-04,Q,6
525452,2,2020-07-06,Q,51
525969,2,2022-07-04,P,4
526095,2,2022-11-02,P,152
526380,1,2022-07-22,P,954
526738,1,2019-11-14,Q,66
526738,1,2019-11-18,P,594
527466,1,2021-08-30,P,82
527466,2,,Q,49
527466,2,,P,522
528233,2,2020-08-24,Q,78
528272,2,2019-06-28,P,2
528483,1,2019-10-07,Q,34
528483,1,2019-10-10,P,1
528483,2,2019-10-07,P,965
528559,4,2021-12-09,P,688
528559,6,2021-12-08,P,2
528566,1,2019-09-02,P,5
529013,2,2022-09-05,Q,72
529971,2,2022-09-20,P,685
529991,1,2022-01-24,P,389
529991,1,2022-01-25,P,398
529991,2,2022-01-31,P,614
529991,3,2022-02-07,P,712
530140,1,2021-01-04,Q,61
530140,1,2021-01-07,P,266
530140,2,2020-12-21,P,1
530575,1,2021-08-20,P,759
530575,1,2021-08-24,P,761
530575,2,2021-08-17,P,87
530681,1,2019-02-18,Q,89
530724,2,2020-01-13,Q,16
530976,2,2021-02-25,P,76
530976,3,2021-02-15,Q,7
531146,2,2022-11-17,Q,34
531864,2,2019-12-04,P,2
532440,3,2022-08-17,Q,13
532764,2,2021-10-05,P,2
532764,3,2021-10-11,Q,19
532808,1,2019-05-13,P,439
533047,1,2023-01-30,P,7
533206,1,2022-07-14,P,314
534520,2,2022-08-02,Q,70
534949,2,2021-01-25,P,2
535151,1,2019-10-21,P,1
535151,2,2019-10-24,Q,42
535423,1,2022-05-04,P,514
535423,1,2022-05-09,P,532
535423,1,2022-05-13,Q,61
535423,1,2022-05-16,Q,58
535433,3,2022-10-03,Q,11
535490,3,,Q,36
535490,4,2021-04-16,Q,17
535490,4,2021-04-19,Q,13
535490,5,2021-04-19,Q,41
535998,1,2020-02-10,Q,44
536680,1,2021-07-06,P,886
536680,1,2021-07-07,P,894
537824,1,2021-01-11,P,5
538133,4,2020-01-27,Q,98
538562,1,2020-06-09,Q,72
538591,1,2019-11-11,P,156
538806,1,2021-04-19,P,754
538806,1,2021-04-26,P,723
538806,2,2021-04-19,P,2
538945,1,2020-10-09,Q,99
538945,2,,P,454
539210,1,2020-01-20,Q,2
539785,1,2020-05-11,Q,44
539785,2,2020-05-06,Q,30
539785,2,2020-05-11,P,235
540574,1,2020-06-01,P,5
540574,1,2020-06-01,P,5
540955,1,,P,750
540955,1,,P,782
541316,1,2020-05-04,Q,63
541678,1,,Q,3
541678,1,,P,337
541678,2,,Q,70
541678,2,,P,377
541678,3,2019-12-23,P,121
542077,1,2021-02-16,P,5
542085,1,2019-02-15,P,5
542463,1,2021-10-01,P,1034
542498,1,,P,390
542498,3,2019-04-15,P,6
542653,1,2020-10-30,P,5
542653,2,2020-10-30,Q,56
542653,2,2020-11-10,P,818
543020,1,2022-09-08,P,222
543020,2,2022-09-09,Q,24
543020,3,2022-09-12,P,279
543020,4,2022-09-01,P,1007
543081,1,2019-09-09,P,444
543819,2,2021-08-19,Q,58
543819,2,2021-08-23,P,6
544021,2,2021-01-01,P,6
544876,1,2020-12-03,P,620
544876,1,2020-12-03,P,607
545351,2,2021-01-15,P,750
546142,2,2021-09-02,Q,78
546142,3,2021-09-01,P,240
546142,3,2021-09-06,Q,97
546887,1,2023-02-20,Q,93
546887,2,,P,757
546960,2,,Q,51
546960,3,2021-09-06,P,359
546960,3,2021-09-09,P,375
546960,3,2021-09-13,P,351
546960,3,2021-09-13,P,358
547094,1,2021-09-27,P,80
547434,1,,Q,52
547434,1,,P,82
547434,1,,P,85
547434,2,2022-02-09,P,5
548229,1,2022-01-24,P,856
548389,2,2023-02-13,Q,41
548559,1,2021-09-06,Q,6
548559,2,2021-09-10,P,337
549638,2,2019-11-20,Q,63
549638,3,2019-11-25,Q,4
549711,3,2021-04-27,Q,77
549711,4,,P,6
549711,5,2021-04-19,P,3
549711,6,2021-04-26,Q,46
549711,6,2021-04-27,P,3
550062,1,2020-06-01,Q,9
550364,1,,P,388
550364,1,,P,417
550364,1,,P,404
550881,1,2022-10-03,Q,54
550881,2,2022-09-27,P,739
550881,2,2022-09-28,P,766
550934,2,2021-10-25,Q,40
551163,1,2020-05-25,Q,55
551163,1,2020-05-26,P,5
552029,1,2021-12-20,P,707
552187,3,2022-02-11,P,3
552187,3,2022-02-14,Q,53
552194,1,2021-12-27,P,3
552194,1,2021-12-27,P,3
552390,2,2020-03-30,Q,38
552390,3,2020-04-07,Q,92
553605,1,2021-01-13,P,5
553766,1,2022-08-09,P,240
553766,1,2022-08-22,Q,44
553818,2,2019-12-27,P,5
553818,2,2020-01-02,P,5
553818,3,2019-12-30,Q,68
553897,1,2021-05-12,Q,62
554097,1,2020-03-23,Q,35
554165,1,,P,713
554854,1,2020-11-27,P,259
554854,2,2020-12-04,Q,96
555247,2,2022-12-23,P,321
556187,3,2021-07-01,Q,22
556187,4,2021-07-05,P,4
556243,1,2020-02-03,P,7
556540,1,2019-01-31,P,5
557281,1,2019-03-25,Q,25
557433,1,2022-03-22,P,2
558109,2,2022-09-08,Q,48
558870,1,2023-02-13,Q,52
558870,3,2023-02-13,P,84
558916,1,2020-03-10,P,312
558916,2,2020-03-19,P,5
559155,1,2021-01-06,Q,21
559155,2,2021-01-06,Q,101
559155,2,2021-01-11,P,637
559155,2,2021-01-14,P,634
559155,5,2021-01-07,Q,52
559430,1,2021-02-11,Q,78
559430,2,2021-02-08,P,779
559646,1,,Q,34
560139,1,2020-01-13,P,698
560374,1,,P,436
560374,2,2019-02-04,Q,54
560889,1,2022-04-21,P,442
560889,1,,P,453
560889,3,2022-04-29,P,6
561064,2,2021-09-15,Q,20
561710,3,2019-01-28,Q,77
563300,2,2020-07-07,Q,12
563416,2,2019-04-01,P,4
563435,1,2022-08-22,Q,80
563440,3,2020-08-20,P,616
563440,3,2020-08-21,P,621
563440,3,2020-08-31,P,627
563701,2,2022-06-17,P,450
563701,2,2022-06-22,Q,34
563701,2,2022-06-24,P,448
563701,4,2022-06-22,P,3
563701,4,2022-06-23,Q,60
563701,5,2022-06-27,P,945
563821,1,2022-01-03,Q,24
563821,2,,Q,3
563989,1,2021-08-12,P,535
565332,1,2019-11-25,P,2
567129,1,2022-01-24,P,5
567454,1,2020-05-25,P,989
567564,1,,P,496
568029,1,2022-02-14,P,519
568029,2,2022-02-14,Q,25
568029,2,2022-02-15,P,330
568029,5,2022-02-02,Q,67
568029,6,2022-02-09,P,374
568276,4,2019-06-10,P,255
568538,1,2022-11-07,P,4
570198,2,2022-10-11,P,4
570198,3,2022-10-12,P,140
570572,1,2019-02-25,P,469
570883,1,2021-07-15,Q,31
571303,1,2021-03-05,Q,90
571386,1,2021-02-04,P,5
571386,3,2021-02-15,P,6
571450,1,2021-02-18,P,157
571450,2,2021-02-17,P,759
571450,2,2021-02-18,Q,7
571533,1,2022-12-14,Q,14
571607,1,2019-10-21,P,6
571607,3,2019-10-28,P,2
571607,3,2019-10-28,P,2
571852,3,2020-07-06,Q,36
571888,1,2021-12-31,Q,77
571888,3,,P,668
571888,3,,P,681
571888,4,2021-12-29,P,186
571960,2,2023-01-05,P,3
572041,2,2021-11-26,P,111
572041,4,2021-11-29,P,789
572041,5,2021-11-29,P,118
572316,1,2020-10-12,Q,10
572316,1,2020-10-15,Q,8
572316,1,2020-10-15,P,631
572679,2,2022-05-24,P,957
572933,1,2021-08-26,Q,45
572933,2,2021-08-13,P,756
573025,1,2020-07-27,P,6
573025,1,2020-07-27,P,6
573025,1,2020-07-29,Q,28
573025,1,2020-07-29,P,6
573025,3,,P,157
573025,4,2020-07-27,Q,40
573025,4,2020-07-27,P,1
573119,1,,P,1
573747,2,2019-11-13,P,1
573849,1,2019-07-11,Q,86
573849,1,2019-07-25,P,5
574472,1,,P,574
574472,1,,P,556
574472,1,,Q,86
574661,1,2019-06-12,Q,3
574661,3,,P,5
574984,1,,P,424
574984,2,2022-05-09,Q,18
574984,4,2022-05-10,P,4
574984,4,2022-05-10,P,4
575341,1,2022-12-12,P,887
575341,1,,P,860
575341,2,2022-12-08,P,118
575341,3,2022-12-15,P,1
575341,4,2022-12-14,P,2
575341,5,2022-12-19,P,5
575703,2,2019-06-24,Q,16
575703,3,2019-06-27,Q,17
576199,1,2020-10-12,P,1
576879,1,2019-09-12,P,497
576879,1,2019-09-17,Q,64
576879,1,2019-09-18,Q,69
576879,2,2019-09-24,Q,59
577034,1,2023-01-10,P,455
577034,2,2023-01-02,P,188
577034,2,2023-01-05,Q,94
577063,1,2019-01-21,P,949
577063,2,2019-01-21,Q,83
577063,2,2019-01-21,P,3
577063,2,2019-01-23,P,3
577493,1,,P,6
577548,2,2022-05-23,P,2
577548,2,2022-05-23,P,2
577757,1,,P,5
577939,2,2022-12-19,P,395
578152,1,2022-12-01,P,520
578152,1,2022-12-05,P,495
578228,1,2021-04-08,P,443
578344,1,2021-07-27,Q,43
579986,1,2020-01-02,Q,28
579986,1,2020-01-06,P,5
579986,2,2020-01-02,P,683
580132,1,2022-01-28,P,388
582245,1,2020-11-02,P,2
582551,2,,P,533
582551,2,,P,537
582698,1,2022-04-11,Q,7
582981,2,2022-08-01,Q,22
582981,2,2022-08-03,P,958
583236,1,2022-10-31,P,375
583487,1,2021-04-27,P,311
583710,1,2021-12-20,P,1
583710,2,2021-12-20,P,871
583748,1,,P,369
583748,2,2020-07-27,Q,40
583748,3,2020-07-27,Q,31
583748,3,2020-07-27,P,1
583876,1,2020-04-23,P,320
584449,2,2022-12-27,Q,52
584840,1,2022-06-27,P,611
584840,1,2022-07-07,P,588
584840,1,2022-07-11,P,580
584840,2,2022-06-27,P,934
584840,2,2022-06-28,P,921
584840,4,2022-06-23,P,311
585467,2,2022-09-19,P,866
585467,2,2022-09-20,Q,9
586099,1,2020-05-26,P,1
586170,1,2022-05-27,P,7
586170,1,2022-06-02,P,7
586170,3,2022-05-24,Q,17
586170,3,2022-06-07,Q,15
586549,2,,P,524
586549,2,,P,514
587160,1,2021-08-11,P,949
587160,2,,Q,22
587160,3,2021-08-24,Q,70
587258,1,2019-10-23,P,678
587258,1,2019-11-04,P,648
587258,2,2019-10-29,P,260
587258,3,2019-10-31,P,422
587258,3,2019-11-04,Q,65
587367,2,2020-09-08,Q,92
587367,3,2020-09-15,P,3
587861,2,2021-08-31,P,1
587945,1,2020-05-25,Q,30
588130,1,2021-02-08,Q,46
588130,1,2021-02-12,Q,51
588715,1,2019-01-21,P,537
588715,2,2019-01-17,P,6
588726,1,2022-05-18,Q,45
588899,1,2019-10-28,P,5
588899,1,2019-10-28,P,5
589967,1,2021-07-02,P,958
590174,3,2022-11-29,Q,52
590211,1,2023-01-06,Q,64
590211,1,2023-01-10,Q,61
590752,2,2021-06-10,Q,75
590763,2,2021-06-15,P,219
590763,2,2021-06-18,Q,67
590763,2,2021-06-24,Q,74
591634,2,2019-03-04,P,347
591696,1,2020-05-25,P,865
591696,2,2020-05-22,P,686
591821,3,2021-06-07,P,2
592163,3,2023-02-28,Q,49
592439,1,,P,451
592439,1,,Q,26
592439,3,2022-12-13,P,1
592439,3,2022-12-14,Q,16
592439,4,2022-12-20,Q,39
592614,3,2021-01-25,P,609
593285,1,2019-03-25,Q,78
593285,1,2019-04-01,P,6
593285,2,2019-03-15,Q,48
593285,2,2019-03-26,Q,43
593846,3,2022-04-11,P,710
594796,1,2019-03-18,Q,44
594796,1,2019-03-18,P,982
594796,3,2019-03-14,Q,68
595261,1,,Q,57
595702,1,2022-01-04,Q,34
596464,1,2020-03-12,P,427
596626,4,2022-08-19,P,975
597005,1,2023-02-24,Q,56
597005,1,2023-02-24,P,4
597663,1,2019-03-15,Q,47
597663,6,2019-03-12,P,5
597751,2,2019-07-15,Q,98
597780,1,2022-07-18,P,331
597780,2,2022-07-18,Q,55
597836,1,,Q,2
597898,1,2021-03-16,Q,23
598956,1,2020-08-26,P,435
599233,1,2022-07-25,P,4
599982,2,2020-12-16,Q,54
599982,2,2020-12-24,P,519
600188,2,2022-12-12,Q,46
600188,2,2022-12-15,Q,41
600311,1,2022-02-03,P,541
600591,1,2021-04-13,P,693
600591,1,2021-04-19,P,721
600591,1,2021-04-22,Q,72
600870,2,2022-09-21,P,1027
601006,1,2019-02-26,P,5
601245,2,2022-10-10,Q,81
601649,1,2023-02-16,P,4
602052,1,2019-06-24,P,623
602774,1,2021-11-03,P,309
602774,2,2021-11-08,Q,99
603702,1,2020-08-03,Q,9
604666,2,2019-09-27,P,7
604882,1,2022-04-08,Q,10
604882,1,2022-04-12,P,2
604882,3,2022-04-19,P,1
604882,4,2022-04-19,P,440
605261,1,2021-11-24,Q,67
605261,3,2021-11-22,P,4
605371,1,2020-10-29,Q,38
605371,2,2020-10-23,Q,83
605373,1,2019-01-29,Q,10
605373,1,2019-02-11,P,718
605373,2,2019-01-28,Q,51
606519,3,2023-03-13,Q,81
607084,1,2019-04-01,P,352
607377,1,2022-02-01,P,1
607477,2,2022-02-21,P,748
607671,1,2021-12-13,P,708
607947,1,2022-01-12,P,3
607947,2,2022-01-17,P,2
608194,1,2020-09-15,Q,27
608194,1,2020-09-21,P,678
609184,2,2022-02-10,Q,91
609184,2,2022-02-18,Q,94
609184,2,2022-02-25,Q,90
609831,1,2022-01-11,P,331
609831,1,2022-01-18,Q,62
610228,1,2020-02-24,P,935
610373,2,2021-06-21,Q,90
610373,2,2021-06-21,Q,93
610373,3,2021-06-21,P,4
610846,1,,Q,4
612953,2,2019-10-17,P,7
612953,2,2019-10-29,Q,36
613445,3,2019-05-13,Q,34
